"","author","year","file","titles","periodical","volume","number"
"11911","Robertson",1981,"Robertson-1981-Availability of Spac.txt","Availability of Space for the Territorial Caribbean Damselfish Eupomacentrus-PlanifronsEcologyEcology","Ecology","62","5"
"11912","Armas",2004,"art101153.txt","Measuring plant interactions: A new comparative indexEcologyEcology","Ecology","85","10"
"11913","Testa",2004,"Testa-2004-Population dynamics.txt","Population dynamics and life history trade-offs of moose (Alces alces) in south-central AlaskaEcologyEcology","Ecology","85","5"
"11914","Teste",2009,"Teste-2009-Access to mycorrhiza.txt","Access to mycorrhizal networks and roots of trees: importance for seedling survival and resource transferEcologyEcology","Ecology","90","10"
"11915","Robertson",1984,"Robertson-1984-Cohabitation of Comp.txt","Cohabitation of Competing Territorial Damselfishes on a Caribbean Coral-ReefEcologyEcology","Ecology","65","4"
"11916","Tester",1964,"Tester-1964-Population-Dynamics.txt","Population-Dynamics of Manitoba Toad Bufo Hemiophrys in Northwestern MinnesotaEcologyEcology","Ecology","45","3"
"11917","Arnqvist",1998,"art100345.txt","Ontogenetic reaction norms of predator-induced defensive morphology in dragonfly larvaeEcologyEcology","Ecology","79","6"
"11919","Robertson",1984,"Robertson-1984-The Major Biogeochem.txt","The Major Biogeochemical Cycles and Their Interactions - Bolin,B, Cook,RbEcologyEcology","Ecology","65","5"
"11920","Tevis",1956,"Tevis-1956-Pocket Gophers and S.txt","Pocket Gophers and Seedlings of Red FirEcologyEcology","Ecology","37","2"
"11921","Tevis",1958,"Tevis-1958-A Population of Dese.txt","A Population of Desert Ephemerals Germinated by Less Than One Inch of RainEcologyEcology","Ecology","39","4"
"11922","Tevis",1958,"Tevis-1958-Interrelations betwe.txt","Interrelations between the Harvester Ant Veromessor-Pergandei (Mayr) and Some Desert EphemeralsEcologyEcology","Ecology","39","4"
"11923","Asquith",1997,"art100073.txt","Does mammal community composition control recruitment in neotropical forests? Evidence from PanamaEcologyEcology","Ecology","78","3"
"11924","Kramer",2004,"Kramer-2004-Soil carbon dynamics.txt","Soil carbon dynamics across a windthrow disturbance sequence in southeast AlaskaEcologyEcology","Ecology","85","8"
"11925","Robertson",1999,"Robertson-1999-Bumble bee selection.txt","Bumble bee selection of Mimulus guttatus flowers: The effects of pollen quality and reward depletionEcologyEcology","Ecology","80","8"
"11926","Hanson",1950,"Hanson-1950-Vegetation and Soil.txt","Vegetation and Soil Profiles in Some Solifluction and Mound Areas in AlaskaEcologyEcology","Ecology","31","4"
"11927","Augner",1997,"art100196.txt","Effects of defoliation on competitive interactions in European white birchEcologyEcology","Ecology","78","8"
"11928","Maestre",2010,"art102048.txt","Is the patch size distribution of vegetation a suitable indicator of desertification processes? ReplyEcologyEcology","Ecology","91","12"
"11929","Doak",2006,"art101309.txt","Fitness consequences of choosy oviposition for a time-limited butterflyEcologyEcology","Ecology","87","2"
"11930","Hanson",1976,"Hanson-1976-Ethics in Business o.txt","Ethics in Business of ScienceEcologyEcology","Ecology","57","4"
"11931","Wiegert",1967,"Wiegert-1967-Forb-Arthropod Food.txt","Forb-Arthropod Food Chains in a 1-Year Experimental FieldEcologyEcology","Ecology","48","1"
"11935","Thaler",2004,"Thaler-2004-Interactions between.txt","Interactions between abscisic-acid-mediated responses and plant resistance to pathogens and insectsEcologyEcology","Ecology","85","1"
"11936","Thaler",2010,"Thaler-2010-Salicylate-mediated.txt","Salicylate-mediated interactions between pathogens and herbivoresEcologyEcology","Ecology","91","4"
"11937","Thames",1963,"Thames-1963-Needle Variation in.txt","Needle Variation in Loblolly-Pine from 4 Geographic Seed SourcesEcologyEcology","Ecology","44","1"
"11938","Robinson",1987,"Robinson-1987-Does Invasion Sequen.txt","Does Invasion Sequence Affect Community StructureEcologyEcology","Ecology","68","3"
"11939","Bailey",2004,"art101132.txt","Estimating survival and breeding probability for pond-breeding amphibians: A modified robust designEcologyEcology","Ecology","85","9"
"11940","Stjohn",1983,"Stjohn-1983-Association of Vesic.txt","Association of Vesicular-Arbuscular Mycorrhizal Hyphae with Soil Organic ParticlesEcologyEcology","Ecology","64","4"
"11941","Robinson",1995,"Robinson-1995-Invasibility of Expe.txt","Invasibility of Experimental Habitat Islands in a California Winter Annual GrasslandEcologyEcology","Ecology","76","3"
"11943","Robinson",2000,"Robinson-2000-A pluralistic analys.txt","A pluralistic analysis of character release in pumpkinseed sunfish (Lepomis gibbosus)EcologyEcology","Ecology","81","10"
"11946","Verhoef",1996,"Verhoef-1996-The role of soil mic.txt","The role of soil microcosms in the study of ecosystem processesEcologyEcology","Ecology","77","3"
"11948","Banks",2007,"art101554.txt","Oceanic variability and coastal topography shape genetic structure in a long-dispersing sea urchinEcologyEcology","Ecology","88","12"
"11949","Baraloto",2007,"art101091.txt","Seasonal water stress tolerance and habitat associations within four neotropical tree generaEcologyEcology","Ecology","88","2"
"11950","Barbour",2009,"art101747.txt","A geographic mosaic of genetic variation within a foundation tree species and its community-level consequencesEcologyEcology","Ecology","90","7"
"11951","Bardgett",2003,"art100850.txt","Soil microbes compete effectively with plants for organic-nitrogen inputs to temperate grasslandsEcologyEcology","Ecology","84","5"
"11952","Scott",1994,"Scott-1994-The Effect of Larval.txt","The Effect of Larval Density on Adult Demographic Traits in Ambystoma-OpacumEcologyEcology","Ecology","75","5"
"11954","Spencer",1941,"Spencer-1941-A small mammal commu.txt","A small mammal community in the Upper Sonoran desertEcologyEcology","Ecology","22","4"
"11955","Traveset",2008,"Traveset-2008-Seed trait changes i.txt","Seed trait changes in dispersers' guts and consequences for germination and seedling growthEcologyEcology","Ecology","89","1"
"11956","Ruibal",1974,"Ruibal-1974-Population Ecology o.txt","Population Ecology of Lizard Anolis-AcutusEcologyEcology","Ecology","55","3"
"11957","Robles",1987,"Robles-1987-CorrectionEcologyEco.txt","CorrectionEcologyEcology","Ecology","68","6"
"11958","Barnett",2007,"art101425.txt","Zooplankton biodiversity and lake trophic state: Explanations invoking resource abundance and distributionEcologyEcology","Ecology","88","7"
"11959","Hosner",1963,"Hosner-1963-Bottomland Hardwood.txt","Bottomland Hardwood Forests of Southern Illinois - Regeneration and SuccessionEcologyEcology","Ecology","44","1"
"11960","Vernberg",1953,"Vernberg-1953-Hibernation Studies.txt","Hibernation Studies of 2 Species of Salamanders, Plethodon-Cinereus-Cinereus and Eurycea-Bislineata-BislineataEcologyEcology","Ecology","34","1"
"11961","Thioulouse",2004,"Thioulouse-2004-Simultaneous analysi.txt","Simultaneous analysis of a sequence of paired ecological tablesEcologyEcology","Ecology","85","1"
"11964","Kricher",1972,"Kricher-1972-Bird Species Diversi.txt","Bird Species Diversity - Effect of Species Richness and Equitability on Diversity IndexEcologyEcology","Ecology","53","2"
"11965","Bashkin",1998,"art100261.txt","Changes in soil carbon following afforestation in HawaiiEcologyEcology","Ecology","79","3"
"11966","McCain",2010,"art101911.txt","Metabolic theory and elevational diversity of vertebrate ectothermsEcologyEcology","Ecology","91","2"
"11967","Bradley",1990,"Bradley-1990-Influence of Oxygen.txt","Influence of Oxygen and Sulfide Concentration on Nitrogen Uptake Kinetics in Spartina-AlternifloraEcologyEcology","Ecology","71","1"
"11968","McCann",1998,"art100422.txt","Density-dependent coexistence in fish communitiesEcologyEcology","Ecology","79","8"
"11969","Poulin",1992,"Poulin-1992-Tropical Avian Pheno.txt","Tropical Avian Phenology in Relation to Abundance and Exploitation of Food ResourcesEcologyEcology","Ecology","73","6"
"11971","Robinson",1998,"art100264.txt","Plant community responses to simulated environmental change at a high arctic polar semi-desertEcologyEcology","Ecology","79","3"
"11972","Mousseau",1995,"Mousseau-1995-Genetic and Environm.txt","Genetic and Environmental Contributions to Geographic-Variation in the Ovipositor Length of a CricketEcologyEcology","Ecology","76","5"
"11973","Thomas",1968,"Thomas-1968-Decomposition of Lob.txt","Decomposition of Loblolly Pine Needles with and without Addition of Dogwood LeavesEcologyEcology","Ecology","49","3"
"11974","Sealander",1958,"Sealander-1958-A Technique for Stud.txt","A Technique for Studying Behavioral-Responses of Small Mammals to TrapsEcologyEcology","Ecology","39","3"
"11975","Moya",2002,"Moya-Larano-2002-Territoriality in a.txt","Territoriality in a cannibalistic burrowing wolf spiderEcologyEcology","Ecology","83","2"
"11977","Bedison",2009,"art101737.txt","Is the growth of temperate forest trees enhanced along an ambient nitrogen deposition gradient?EcologyEcology","Ecology","90","7"
"11978","McCormick",1998,"art100347.txt","Behaviorally induced maternal stress in a fish influences progeny quality by a hormonal mechanismEcologyEcology","Ecology","79","6"
"11979","McCormick",2006,"art100901.txt","Mothers matter: Crowding leads to stressed mothers and smaller offspring in marine fishEcologyEcology","Ecology","87","5"
"11980","Thomas",1987,"Thomas-1987-Variation in Host Pr.txt","Variation in Host Preference Affects Movement Patterns within a Butterfly PopulationEcologyEcology","Ecology","68","5"
"11982","Wohlschlag",1960,"Wohlschlag-1960-Metabolism of an Ant.txt","Metabolism of an Antarctic Fish and the Phenomenon of Cold AdaptationEcologyEcology","Ecology","41","2"
"11984","Thomas",1993,"Thomas-1993-Sex, Size, and Inter.txt","Sex, Size, and Interyear Variation in Flowering among Dioecious Trees of the Malayan Rain-ForestEcologyEcology","Ecology","74","5"
"11985","Thomas",1996,"Thomas-1996-Monitoring long-term.txt","Monitoring long-term population change: Why are there so many analysis methods?EcologyEcology","Ecology","77","1"
"11986","McGuire",2007,"art101333.txt","Common ectomycorrhizal networks may maintain monodominance in a tropical rain forestEcologyEcology","Ecology","88","3"
"11987","McIntyre",1999,"art100567.txt","How does habitat patch size affect animal movement? An experiment with darkling beetlesEcologyEcology","Ecology","80","7"
"11988","Mueller",1942,"Mueller-1942-Relative drought res.txt","Relative drought resistance of seedlings of dominant prairie grassesEcologyEcology","Ecology","23","4"
"11989","Sears",1947,"Sears-1947-The Insolation-Expos.txt","The Insolation-Exposure FactorEcologyEcology","Ecology","28","3"
"11990","McKane",1997,"art100093.txt","Climatic effects on tundra carbon storage inferred from experimental data and a modelEcologyEcology","Ecology","78","4"
"11991","Thomas",2000,"Thomas-2000-Effects of water vel.txt","Effects of water velocity and canopy morphology on ammonium uptake by seagrass communitiesEcologyEcology","Ecology","81","10"
"11994","Vickery",1984,"Vickery-1984-Detection of Density.txt","Detection of Density-Dependent Effects in Annual Duck CensusesEcologyEcology","Ecology","65","1"
"11995","Benstead",2009,"art101739.txt","Nutrient enrichment alters storage and fluxes of detritus in a headwater stream ecosystemEcologyEcology","Ecology","90","9"
"11997","Wilbur",1997,"Wilbur-1997-Experimental ecology.txt","Experimental ecology of food webs: Complex systems in temporary ponds - The Robert H. MacArthur Award Lecture - Presented 31 July 1995 Snowbird, UtahEcologyEcology","Ecology","78","8"
"11998","Power",1985,"Power-1985-Grazing Minnows, Pis.txt","Grazing Minnows, Piscivorous Bass, and Stream Algae - Dynamics of a Strong InteractionEcologyEcology","Ecology","66","5"
"11999","Berryman",1997,"art100022.txt","Detection of delayed density dependence: CommentEcologyEcology","Ecology","78","1"
"12000","Wilcove",1985,"Wilcove-1985-Nest Predation in Fo.txt","Nest Predation in Forest Tracts and the Decline of Migratory SongbirdsEcologyEcology","Ecology","66","4"
"12001","Vieyra",2009,"Vieyra-2009-Effects of parental.txt","Effects of parental age and food availability on the reproductive success of Heermann's Gulls in the Gulf of CaliforniaEcologyEcology","Ecology","90","4"
"12003","Rodriguez",1986,"Rodriguez-1986-Diel and Interannual.txt","Diel and Interannual Variation of Size Distribution of Oceanic Zooplanktonic BiomassEcologyEcology","Ecology","67","1"
"12004","McPeek",1998,"art100265.txt","Life histories and the strengths of species interactions: Combining mortality, growth, and fecundity effectsEcologyEcology","Ecology","79","3"
"12005","Thompson",1958,"Thompson-1958-A Mechano-Graphical.txt","A Mechano-Graphical Instrument for Analyzing OscillogramsEcologyEcology","Ecology","39","3"
"12006","Paine",1963,"Paine-1963-Feeding Rate of a Pr.txt","Feeding Rate of a Predaceous Gastropod, Pleuroploca GiganteaEcologyEcology","Ecology","44","2"
"12007","Megonigal",1997,"art100027.txt","Aboveground production in Southeastern floodplain forests: A test of the subsidy-stress hypothesisEcologyEcology","Ecology","78","2"
"12008","Paine",1964,"Paine-1964-Ash + Calorie Determ.txt","Ash + Calorie Determinations of Sponge + Opisthobranch TissuesEcologyEcology","Ecology","45","2"
"12009","Bihn",2010,"art101764.txt","Loss of functional diversity of ant assemblages in secondary tropical forestsEcologyEcology","Ecology","91","3"
"12010","Sprules",1972,"Sprules-1972-Effects of Size-Sele.txt","Effects of Size-Selective Predation and Food Competition on High-Altitude Zooplankton CommunitiesEcologyEcology","Ecology","53","3"
"12011","Billick",2003,"art100753.txt","The relative importance of spatial vs. temporal variability in generating a conditional mutualismEcologyEcology","Ecology","84","2"
"12012","Thompson",1978,"Thompson-1978-Within-Patch Structu.txt","Within-Patch Structure and Dynamics in Pastinaca-Sativa and Resource Availability to a Specialized HerbivoreEcologyEcology","Ecology","59","3"
"12013","Thompson",1982,"Thompson-1982-Microhabitat Utiliza.txt","Microhabitat Utilization and Foraging Behavior of Bipedal and Quadrupedal Heteromyid RodentsEcologyEcology","Ecology","63","5"
"12014","Thompson",1982,"Thompson-1982-Structure and Specie.txt","Structure and Species Composition of Desert Heteromyid Rodent Species Assemblages - Effects of a Simple Habitat ManipulationEcologyEcology","Ecology","63","5"
"12019","Fagan",2005,"art101230.txt","Rarity, fragmentation, and the scale dependence of extinction risk in desert fishesEcologyEcology","Ecology","86","1"
"12020","Kuchler",1974,"Kuchler-1974-New Vegetation Map o.txt","New Vegetation Map of KansasEcologyEcology","Ecology","55","3"
"12021","Mills",1998,"art100321.txt","Maintenance of diversity within plant communities: Soil pathogens as agents of negative feedbackEcologyEcology","Ecology","79","5"
"12022","Seifert",1975,"Seifert-1975-Clumps of Heliconia.txt","Clumps of Heliconia Inflorescences as Ecological IslandsEcologyEcology","Ecology","56","6"
"12023","Seifert",1979,"Seifert-1979-Heliconia Insect Com.txt","Heliconia Insect Community in a Venezuelan Cloud ForestEcologyEcology","Ecology","60","3"
"12024","Mcgregor",1968,"Mcgregor-1968-Self-Absorption of C.txt","Self-Absorption of C14 Radiation in Freshwater OstracodsEcologyEcology","Ecology","49","2"
"12025","Villeger",2008,"Villeger-2008-New multidimensional.txt","New multidimensional functional diversity indices for a multifaceted framework in functional ecologyEcologyEcology","Ecology","89","8"
"12026","Harper",1950,"Harper-1950-Algae on Animals - a.txt","Algae on Animals - a Bibliographical NoteEcologyEcology","Ecology","31","2"
"12027","Kuehne",1962,"Kuehne-1962-Classification of St.txt","Classification of Streams, Illustrated by Fish Distribution in an Eastern Kentucky CreekEcologyEcology","Ecology","43","4"
"12028","Jordan",1969,"Jordan-1969-Derivation of Leaf-A.txt","Derivation of Leaf-Area Index from Quality of Light on Forest FloorEcologyEcology","Ecology","50","4"
"12029","Rogers",1980,"Rogers-1980-Hemlock Stands from.txt","Hemlock Stands from Wisconsin to Nova-Scotia - Transitions in Understory Composition Along a Floristic GradientEcologyEcology","Ecology","61","1"
"12030","Rogers",1981,"Rogers-1981-Mature Mesophytic Ha.txt","Mature Mesophytic Hardwood Forest - Community Transitions, by Layer, from East-Central Minnesota to Southeastern MichiganEcologyEcology","Ecology","62","6"
"12031","Thompson",1997,"Thompson-1997-Evaluating the dynam.txt","Evaluating the dynamics of coevolution among geographically structured populationsEcologyEcology","Ecology","78","6"
"12032","Vinebrooke",1999,"Vinebrooke-1999-Differential respons.txt","Differential responses of littoral communities to ultraviolet radiation in an alpine lakeEcologyEcology","Ecology","80","1"
"12033","Rogers",1983,"Rogers-1983-Annual Variability i.txt","Annual Variability in Community Organization of Forest Herbs - Effect of an Extremely Warm and Dry Early SpringEcologyEcology","Ecology","64","5"
"12034","Thompson",1998,"Thompson-1998-Coping with multiple.txt","Coping with multiple enemies: 10 years of attack on Lomatium dissectum plantsEcologyEcology","Ecology","79","7"
"12035","Mcintire",1968,"Mcintire-1968-Structral Characteri.txt","Structral Characteristics of Benthic Algal Communities in Laboratory StreamsEcologyEcology","Ecology","49","3"
"12036","Bolker",2003,"art100833.txt","Connecting theoretical and empirical studies of trait-mediated interactionsEcologyEcology","Ecology","84","5"
"12037","Bonenfant",2007,"art101558.txt","Testing sexual segregation and aggregation: Old ways are bestEcologyEcology","Ecology","88","12"
"12038","Palen",2004,"Palen-2004-Optical characterist.txt","Optical characteristics of natural waters protect amphibians from UV-B in the US Pacific Northwest: replyEcologyEcology","Ecology","85","6"
"12039","Tamarin",1987,"Tamarin-1987-Sibship Assignment a.txt","Sibship Assignment and Mass-Defined Recruitment in a Population of Meadow VolesEcologyEcology","Ecology","68","4"
"12040","Wood",1987,"Wood-1987-Mechanisms of Early.txt","Mechanisms of Early Primary Succession in Sub-Alpine Habitats on Mount-St-HelensEcologyEcology","Ecology","68","4"
"12041","Waser",1991,"Waser-1991-Survival and Reprodu.txt","Survival and Reproductive Effort in Banner-Tailed Kangaroo RatsEcologyEcology","Ecology","72","3"
"12042","Booth",2004,"art101131.txt","Synergistic effects of conspecifics and food on growth and energy allocation of a damselfishEcologyEcology","Ecology","85","10"
"12043","Thompson",2003,"Thompson-2003-Impacts on stream fo.txt","Impacts on stream food webs of native and exotic forest: An intercontinental comparisonEcologyEcology","Ecology","84","1"
"12044","Borer",2007,"art101488.txt","Predators, parasitoids, and pathogens: A cross-cutting examination of intraguild predation theoryEcologyEcology","Ecology","88","11"
"12045","Williams",1960,"Williams-1960-Ecological Significa.txt","Ecological Significance of Seed Coat Impermeability to Moisture in Crimson, Subterreanean and Rose Clovers in a Mediterranean-Type ClimateEcologyEcology","Ecology","41","4"
"12046","Williams",1961,"Williams-1961-Direct and Food-Chai.txt","Direct and Food-Chain Uptake of Cesium137 and Sr-85 in Bluegill FingerlingsEcologyEcology","Ecology","42","1"
"12047","Rohde",1956,"Rohde-1956-A Modification of th.txt","A Modification of the Plaster-Charcoal Technique for the Rearing of Mites and Other Small ArthropodsEcologyEcology","Ecology","37","4"
"12048","Harrington",1959,"Harrington-1959-Delayed Hatching in.txt","Delayed Hatching in Stranded Eggs of Marsh Killifish, Fundulus-ConfluentusEcologyEcology","Ecology","40","3"
"12049","Rohlf",1969,"Rohlf-1969-Effect of Clumped Di.txt","Effect of Clumped Distributions in Sparse PopulationsEcologyEcology","Ecology","50","4"
"12050","Morin",2003,"art100780.txt","Community ecology and the genetics of interacting speciesEcologyEcology","Ecology","84","3"
"12051","Thompson",2007,"Thompson-2007-Food webs and intrag.txt","Food webs and intraguild predation: Community interactions of a native mesocarnivoreEcologyEcology","Ecology","88","2"
"12052","Thompson",2008,"Thompson-2008-Evolution of polyplo.txt","Evolution of polyploidy and the diversification of plant-pollinator interactionsEcologyEcology","Ecology","89","8"
"12053","Flury",1999,"art100566.txt","Periodic logistic regressionEcologyEcology","Ecology","80","7"
"12054","Braatne",1999,"art100493.txt","Comparative physiological ecology of lupines colonizing early successional habitats on Mount St. Helens (vol 80, pg 891, 1999)EcologyEcology","Ecology","80","5"
"12055","Fong",2006,"art100909.txt","Epiphytic cyanobacteria maintain shifts to macroalgal dominance on coral reefs following ENSO disturbanceEcologyEcology","Ecology","87","5"
"12056","Roininen",1989,"Roininen-1989-Host Selection and L.txt","Host Selection and Larval Performance of 2 Willow-Feeding SawfliesEcologyEcology","Ecology","70","1"
"12057","Murcia",1990,"Murcia-1990-Effect of Floral Mor.txt","Effect of Floral Morphology and Temperature on Pollen Receipt and Removal in Ipomoea-TrichocarpaEcologyEcology","Ecology","71","3"
"12058","Morrison",1998,"art100286.txt","The spatiotemporal dynamics of insular ant metapopulationsEcologyEcology","Ecology","79","4"
"12059","McIntyre",2008,"McIntyre-2008-Fish distributions a.txt","Fish distributions and nutrient cycling in streams: Can fish create biogeochemical hotspots?EcologyEcology","Ecology","89","8"
"12060","Bradford",1997,"art100033.txt","An empirical model of diapause strategies of the cricket Allonemobius sociusEcologyEcology","Ecology","78","2"
"12061","Thomson",1996,"Thomson-1996-Untangling multiple.txt","Untangling multiple factors in spatial distributions: Lilies, gophers, and rocksEcologyEcology","Ecology","77","6"
"12062","Murdoch",1972,"Murdoch-1972-Diversity and Patter.txt","Diversity and Pattern in Plants and InsectsEcologyEcology","Ecology","53","5"
"12063","Preston",1999,"Preston-1999-Positive and negativ.txt","Positive and negative signals regulate germination in the post-fire annual, Nicotiana attenuataEcologyEcology","Ecology","80","2"
"12065","Kupferberg",1997,"Kupferberg-1997-Bullfrog (Rana cates.txt","Bullfrog (Rana catesbeiana) invasion of a California river: The role of larval competitionEcologyEcology","Ecology","78","6"
"12066","Brantley",2007,"art101403.txt","Leaf-area index and light attenuation in rapidly expanding shrub thicketsEcologyEcology","Ecology","88","2"
"12067","Vitousek",2009,"Vitousek-2009-Landscape-level vari.txt","Landscape-level variation in forest structure and biogeochemistry across a substrate age gradient in HawaiiEcologyEcology","Ecology","90","11"
"12068","Vitt",1977,"Vitt-1977-Adaptive Strategies.txt","Adaptive Strategies and Energetics of Tail Autotomy in LizardsEcologyEcology","Ecology","58","2"
"12069","Kuriyan",1953,"Kuriyan-1953-Biology of Fouling i.txt","Biology of Fouling in the Gulf of Manaar - a Preliminary AccountEcologyEcology","Ecology","34","4"
"12070","Stanley",1951,"Stanley-1951-The Autotrephon - an.txt","The Autotrephon - an Apparatus for Rearing Insects under Controlled Conditions with Automatic Time-Controlled Withdrawal of SamplesEcologyEcology","Ecology","32","3"
"12071","Murdoch",1995,"Murdoch-1995-Regulation of an Ins.txt","Regulation of an Insect Population under Biological-ControlEcologyEcology","Ecology","76","1"
"12072","Kurokawa",2008,"Kurokawa-2008-Leaf herbivory and d.txt","Leaf herbivory and decomposability in a Malaysian tropical rain forestEcologyEcology","Ecology","89","9"
"12073","Thorarinsson",1990,"Thorarinsson-1990-Biological-Control o.txt","Biological-Control of the Cottony-Cushion Scale - Experimental Tests of the Spatial Density-Dependence HypothesisEcologyEcology","Ecology","71","2"
"12075","Murphy",1967,"Murphy-1967-Vital Statistics of.txt","Vital Statistics of Pacific Sardine (Sardinops Caerulea) and Population ConsequencesEcologyEcology","Ecology","48","5"
"12076","Rollo",1988,"Rollo-1988-Compensatory Scope a.txt","Compensatory Scope and Resource-Allocation in 2 Species of Aquatic SnailsEcologyEcology","Ecology","69","1"
"12077","Mysterud",1998,"art100307.txt","Functional responses in habitat use: Availability influences relative use in trade-off situationsEcologyEcology","Ecology","79","4"
"12078","Williams",1993,"Williams-1993-Field Metabolism, Wa.txt","Field Metabolism, Water Requirements, and Foraging Behavior of Wild Ostriches in the NamibEcologyEcology","Ecology","74","2"
"12079","Thorne",1985,"Thorne-1985-Nitrification Potent.txt","Nitrification Potentials of an Old-Field Chronosequence in Campton, New-HampshireEcologyEcology","Ecology","66","4"
"12080","Romanach",2007,"Romanach-2007-Costs and benefits o.txt","Costs and benefits of pocket gopher foraging: Linking behavior and physiologyEcologyEcology","Ecology","88","8"
"12082","Saether",2005,"Saether-2005-Time to extinction o.txt","Time to extinction of bird populationsEcologyEcology","Ecology","86","3"
"12083","Wetzel",1958,"Wetzel-1958-Mammalian Succession.txt","Mammalian Succession on Midwestern FloodplainsEcologyEcology","Ecology","39","2"
"12084","Turner",1942,"Turner-1942-Ecological aspects o.txt","Ecological aspects of the pricklypear problem in Eastern Colorado and WyomingEcologyEcology","Ecology","23","4"
"12087","Thorp",1984,"Thorp-1984-Regulation of Fresh-.txt","Regulation of Fresh-Water Community Structure at Multiple Intensities of Dragonfly PredationEcologyEcology","Ecology","65","5"
"12089","Romero",2004,"Romero-2004-Beneficial effects o.txt","Beneficial effects of flower-dwelling predators on their host plantEcologyEcology","Ecology","85","2"
"12092","Stapp",2009,"Stapp-2009-Inferring host-paras.txt","Inferring host-parasite relationships using stable isotopes: implications for disease transmission and host specificityEcologyEcology","Ecology","90","11"
"12093","Bruno",1997,"art100181.txt","Clonal variation for phenotypic plasticity in the coral Madracis mirabilisEcologyEcology","Ecology","78","7"
"12094","Love",1959,"Love-1959-The Effect of Natura.txt","The Effect of Natural Winter Temperatures on Development of Anopheles-Quadrimaculatus in Southwestern GeorgiaEcologyEcology","Ecology","40","2"
"12095","Love",1966,"Love-1966-Pop, E - Nature Rese.txt","Pop, E - Nature Reserves in RomaniaEcologyEcology","Ecology","47","5"
"12096","Serrano",2000,"Serrano-2000-Estimation of canopy.txt","Estimation of canopy photosynthetic and nonphotosynthetic components from spectral transmittanceEcologyEcology","Ecology","81","11"
"12097","Romme",2005,"Romme-2005-Establishment, persi.txt","Establishment, persistence, and growth of aspen (Populus tremuloides) seedlings in Yellowstone National ParkEcologyEcology","Ecology","86","2"
"12100","Paranjpe",1986,"Paranjpe-1986-Modeling Nonmonotoni.txt","Modeling Nonmonotonic Survivorship Data with Bathtub DistributionsEcologyEcology","Ecology","67","6"
"12101","Romney",1963,"Romney-1963-Contamination of Pla.txt","Contamination of Plant Foliage with Radioactive FalloutEcologyEcology","Ecology","44","2"
"12102","Fulton",2002,"art100710.txt","Fine-scale predictability of forest community dynamicsEcologyEcology","Ecology","83","5"
"12103","Burnaford",2004,"art101107.txt","Habitat modification and refuge from sublethal stress drive a marine plant-herbivore associationEcologyEcology","Ecology","85","10"
"12104","Chalcraft",2005,"Chalcraft-2005-Experimental venue a.txt","Experimental venue and estimation of interaction strength: CommentEcologyEcology","Ecology","86","4"
"12105","Von Holle",2005,"Von Holle-2005-Ecological resistanc.txt","Ecological resistance to biological invasion overwhelmed by propagule pressureEcologyEcology","Ecology","86","12"
"12106","Murray",2009,"Murray-2009-Methods to quantify.txt","Methods to quantify variable importance: implications for the analysis of noisy ecological data (vol 90, pg 348, 2009)EcologyEcology","Ecology","90","5"
"12107","Hart",2009,"Hart-2009-Spatial arrangement.txt","Spatial arrangement affects population dynamics and competition independent of community compositionEcologyEcology","Ecology","90","6"
"12108","Newman",1997,"art100108.txt","Blocking factors and hypothesis tests in ecology: Is your statistics text wrong?EcologyEcology","Ecology","78","5"
"12109","Thresher",1983,"Thresher-1983-Habitat Effects on R.txt","Habitat Effects on Reproductive Success in the Coral-Reef Fish, Acanthochromis-Polyacanthus (Pomacentridae)EcologyEcology","Ecology","64","5"
"12110","Williams",2005,"Williams-2005-High and dry_ Variat.txt","High and dry: Variation in net photosynthesis of the intertidal seaweed Fucus gardneriEcologyEcology","Ecology","86","9"
"12111","Paris",1965,"Paris-1965-Radiotracer Demonstr.txt","Radiotracer Demonstration of Isopod HerbivoryEcologyEcology","Ecology","46","5"
"12112","Thrush",1996,"Thrush-1996-Scale-dependent reco.txt","Scale-dependent recolonization: The role of sediment stability in a dynamic sandflat habitatEcologyEcology","Ecology","77","8"
"12113","Calder",2003,"art100862.txt","Incorporating multiple sources of stochasticity into dynamic population modelsEcologyEcology","Ecology","84","6"
"12114","Williams",2006,"Williams-2006-The impact of invasi.txt","The impact of invasive grasses on the population growth of Anemone patens, a long-lived native forBEcologyEcology","Ecology","87","12"
"12115","Root",1976,"Root-1976-Life-Styles of Tropi.txt","Life-Styles of Tropical Milkweed Bugs, Oncopeltus (Hemiptera-Lygaeidae) Utilizing Same HostsEcologyEcology","Ecology","57","1"
"12118","Park",1941,"Park-1941-Concerning community.txt","Concerning community symmetryEcologyEcology","Ecology","22","2"
"12119","Voss",1939,"Voss-1939-Swiss fossil pollen.txt","Swiss fossil pollen analysisEcologyEcology","Ecology","20","4"
"12120","Nock",2008,"art101598.txt","Large ontogenetic declines in intra-crown leaf area index in two temperate deciduous tree speciesEcologyEcology","Ecology","89","3"
"12121","Nonacs",2006,"art100987.txt","Interspecific hybridization in ants: At the intersection of ecology, evolution, and behaviorEcologyEcology","Ecology","87","9"
"12122","Vossbrinck",1979,"Vossbrinck-1979-Abiotic and Biotic F.txt","Abiotic and Biotic Factors in Litter Decomposition in a Semi-Arid GrasslandEcologyEcology","Ecology","60","2"
